index,account,postdate,tweet,link,comments,retweets,likes,views,replysource,relevance_score,veto_reason,is_indonesian,has_topic_keyword,is_relevant,borderline
1407,ArgubiSaki8524,2025-01-07T14:29:09.000Z,Racun disini dlm arti efek sampingnya sgt merusak sistem di tubuh kita.ya memang tdk lngsung mematikan.,https://x.com/ArgubiSaki8524/status/1876637201171452132,0,0,0,29,https://x.com/ArgubiSaki8524/status/1876629615307010479,0.04197797,,True,True,True,False
1408,ThatSun510,2025-01-08T23:55:17.000Z,"Stop bodoh! Jangan lagi percaya media2. Mereka cuma cari keuntungan tidak pernah bicara fakta yg sebenar2nya. Kritis untuk goreng issue2 di tingkat lokal (oligarki lokal) tapi tutup mata di tingkat dunia (oligarki global).  Gak heran, tempo diinvest Soros.",https://x.com/ThatSun510/status/1877142059053674755,1,6,4,222,https://x.com/ThatSun510/status/1877144869929431155,0.06436749,,True,False,False,False
1409,ThatSun510,2024-09-15T02:49:01.000Z,"Kenapa Narasi speak kasus Gagal Ginjal Akut Progresif Atipikal tapi DIAM dgn KIPI vaksin covid dan imunisasi anak?  Cari tahu, #Jadipaham realita seperti hastag mereka. Jadinya, PAHAM MEREKA TIDAK SUARAKAN KEBENARAN!  Gak heran, Narasi dinvest JP Morgan",https://x.com/ThatSun510/status/1835148789050405029/photo/2,1,2,2,172,https://x.com/ThatSun510/status/1877144869929431155,0.041135386,,True,False,False,False
1410,ThatSun510,2025-01-09T00:15:21.000Z,Mereka selalu diam jika issuenya sudah terkait Elite Banker Global aka The Global Elite.   Memakai diksi ' hanya Teori Konspirasi' mereka menyembunyikan rapot merah Para Elite (termasuk didalamnya SOROS & JP MORGAN yg investing ke media mereka) tersebut.  https://x.com/ThatSun510/status/1853990350286995703…,https://x.com/ThatSun510/status/1877147110623064483,1,2,2,113,https://x.com/ThatSun510/status/1877144869929431155,0.009720013,,True,False,False,False
1411,ThatSun510,2025-01-09T00:23:14.000Z,"Contoh lain: Terlapor 2023, Indonesia punya 2600Ton cadangan emas. Masuk Top10 global. 2024, hanya tersisa 78Ton, tidak lagi masuk Top global. HILANG kemana CADANGAN EMAS Indonesia?  KENAPA DIAM? TIDAK RAME? Karena HILANGNYA terkait THE ELITE GLOBAL!!!",https://x.com/ThatSun510/status/1877149095350931877,1,2,7,201,https://x.com/ThatSun510/status/1877144869929431155,0.03206253,,True,False,False,False
1412,ThatSun510,2025-01-09T00:32:53.000Z,"Bukti2 KIPI vaksin sangat nyata, mereka diam. Mau ada jurnal, tetap diframing teori konspirasi, karena tidak sejalan dgn agenda The Elite Banker.  Giliran sejalan, seperti plandemi, climate change, SDGs #Agenda2030 mereka akan terdepan ikut mensukseskan.",https://x.com/ThatSun510/status/1877151522649154043,2,6,9,290,https://x.com/ThatSun510/status/1877144869929431155,0.02964656,,True,False,False,False
1413,blue_berets7,2025-01-11T16:27:11.000Z,Menolak lupa  Pada Oktober tahun 2022 ( beberapa bulan setelah vaksinasi covid untuk anak anak diatas 6 tahun) banyak anak anak yg kemudian menderita penyakit gagal ginjal misterius. Kemudian pemerintah menyalahkan obat sirup yg mengandung Etilen glikol sebagai penyebabnya..,https://x.com/blue_berets7/status/1878116456577065063,1,3,4,343,https://x.com/blue_berets7/status/1878116772714553804,0.10715407,,True,False,False,True
1414,asiliasali,2025-01-14T15:06:13.000Z,Mother and son,https://x.com/asiliasali/status/1879183243452481574,134,41,1077,225100,https://x.com/IsayaMwaki68729/status/1879201156372861190,0.010855824,,True,False,False,False
1415,fayyadhjaafar,2025-01-30T12:13:22.000Z,Tengkorak mu chatgpt,https://x.com/fayyadhjaafar/status/1884937950913516005,0,0,0,74,https://x.com/fayyadhjaafar/status/1884906221020619174,-0.081642956,,True,True,False,True
1416,amer7211,2025-01-28T08:23:19.000Z,Macam biasa. Jawapan selamatkan diri.,https://x.com/amer7211/status/1884155282307309591,1,2,8,266,https://x.com/KartunisGandum/status/1884132281675370521,-0.21264383,,True,True,False,True
1417,f4kr0ls00d,2025-01-28T08:01:03.000Z,Belajar dari pas ke ni? @MCAHQ,https://x.com/f4kr0ls00d/status/1884149678431953382,0,0,2,102,https://x.com/KartunisGandum/status/1884132281675370521,-0.23047791,,True,True,False,True
1418,Bro2Face,2025-01-28T07:18:09.000Z,"berkawan dengan lebai, perangai pon maciam lebai jgakkk...",https://x.com/Bro2Face/status/1884138882796773527,0,0,1,71,https://x.com/KartunisGandum/status/1884132281675370521,-0.2136533,,True,True,False,True
1419,Irfanae1988,2025-01-28T13:38:41.000Z,"Taik panjang berjela2 ""tanpa sengaja"".",https://x.com/Irfanae1988/status/1884234646994685969,0,0,0,15,https://x.com/KartunisGandum/status/1884132281675370521,-0.22707099,,True,True,False,True
1420,DofMuar,2025-01-29T03:55:15.000Z,Pengaruh PAS makin kuat dlm MCA,https://x.com/DofMuar/status/1884450206508335465,0,0,0,17,https://x.com/KartunisGandum/status/1884132281675370521,-0.15827906,,True,True,False,True
1421,ciehyo,2025-01-28T11:55:29.000Z,No 9,https://x.com/ciehyo/status/1884208676195754468,0,0,1,66,https://x.com/firdausdahlanm1/status/1884065582481563944,-0.09224824,,True,True,False,True
1422,OrenjiRenOren,2025-01-26T04:32:11.000Z,Hakisan pantai sejak bila jd tanggungjawab Persekutuan???,https://x.com/OrenjiRenOren/status/1883372339276198150,117,581,1940,605200,https://x.com/DrKhairulAnwar/status/1883505334762996093,-0.08313912,,True,True,False,True
1423,BoyChan1238,2025-01-27T02:22:24.000Z,Tu la kelebihan pemimpin2 PAS ni x perlu buat apa2 rakyat sne tetap akan undi mrk.,https://x.com/BoyChan1238/status/1883702065702257090,0,0,0,8,https://x.com/DrKhairulAnwar/status/1883505334762996093,-0.10757236,,True,True,False,True
1424,iamjoelee,2025-01-25T10:17:15.000Z,I don't get the Harimau Malaya jersey just being some lame ass template design.    Tapi barangkali melambangkan team yang ada kot.   Boring. Unimaginative.  Lazy.,https://x.com/iamjoelee/status/1883096787436949618,1,1,3,319,https://x.com/iamjoelee/status/1883097181730771233,-0.16785866,,True,True,False,True
1425,alcholcx,2025-01-25T12:04:29.000Z,Waduhhh kasian banget sih,https://x.com/alcholcx/status/1883123776352829601,0,0,0,4,https://x.com/ywdzaa/status/1883085461419426254,0.022001803,,True,True,True,False
